actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,avatar,CCH Pounder Joel David Moore Wes Studi James Cameron Action|Adventure|Fantasy|Sci-Fi
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: at world's end,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action|Adventure|Fantasy
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,spectre,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action|Adventure|Thriller
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,the dark knight rises,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action|Thriller
Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,star wars: episode vii - the force awakens            ,Doug Walker Rob Walker unknown Doug Walker Documentary
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,john carter,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action|Adventure|Sci-Fi
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,spider-man 3,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Romance
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tangled,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,avengers: age of ultron,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the half-blood prince,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure|Family|Fantasy|Mystery
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,batman v superman: dawn of justice,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action|Adventure|Sci-Fi
Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action|Adventure|Sci-Fi,superman returns,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action|Adventure|Sci-Fi
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action|Adventure,quantum of solace,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action|Adventure
